state,_TYPE_,_FREQ_,cancer,heart_disease,both_condition,neither,avg_allowed_amt,avg_pc_vst,avg_cardiologist_vst,avg_oncologist_vst,avg_others_vst,avg_inpatient,avg_outpatient
AL,0,448,0,1,0,0,17066.54846,7.0535714286,3.6540178571,0.3102678571,15.129464286,0.6026785714,3.7723214286
AR,0,228,0,1,0,0,19110.091272,6.899122807,3.7631578947,0.1666666667,16.263157895,0.7061403509,3.9780701754
AZ,0,312,0,1,0,0,12547.891058,6.6891025641,2.7980769231,0.2532051282,14.115384615,0.4455128205,3.4423076923
CO,0,226,0,1,0,0,16221.233274,6.3185840708,2.6460176991,0.0221238938,14.252212389,0.4336283186,3.5044247788
CT,0,277,0,1,0,0,14485.750722,5.9025270758,3.9566787004,0.2418772563,14.78700361,0.357400722,3.8339350181
GA,0,734,0,1,0,0,15349.10906,7.0449591281,3.5177111717,0.2302452316,13.950953678,0.5585831063,4.0749318801
HI,0,21,0,1,0,0,9501.5552381,4.8095238095,1.8571428571,0.0952380952,6.4761904762,0.1428571429,0.9523809524
IA,0,284,0,1,0,0,14676.573028,7.2077464789,3.3943661972,0.1373239437,15.524647887,0.6126760563,6.5809859155
ID,0,19,0,1,0,0,24979.020526,3.5263157895,2.2631578947,0.2105263158,10.947368421,0.7894736842,1.5789473684
IL,0,800,0,1,0,0,20036.155925,7.04875,3.5625,0.235,13.735,0.6,6.09125
IN,0,188,0,1,0,0,21731.1825,5.6968085106,2.5265957447,0.2606382979,12.14893617,0.5638297872,6.329787234
KY,0,430,0,1,0,0,14845.948419,7.7,3.4744186047,0.3465116279,15.190697674,0.5813953488,4.223255814
LA,0,263,0,1,0,0,12864.33346,6.5399239544,2.9391634981,0.1977186312,13.338403042,0.5171102662,4.5399239544
MA,0,458,0,1,0,0,15201.918886,6.5436681223,3.4759825328,0.2358078603,14.975982533,0.3537117904,3.1288209607
MD,0,353,0,1,0,0,14048.733598,5.8668555241,3.3031161473,0.2861189802,13.249291785,0.4702549575,3.5637393768
ME,0,45,0,1,0,0,10691.104889,4.3333333333,2.1333333333,0.0666666667,11.133333333,0.3555555556,2.6888888889
MI,0,1001,0,1,0,0,14765.191429,7.4115884116,3.004995005,0.1948051948,13.886113886,0.5324675325,6.4145854146
MN,0,555,0,1,0,0,14718.191405,7.3117117117,3.181981982,0.0936936937,12.884684685,0.6018018018,5.7369369369
MO,0,420,0,1,0,0,17261.02719,7.0452380952,3.2095238095,0.1166666667,14.028571429,0.5333333333,6.7857142857
MS,0,80,0,1,0,0,12891.089375,5.5125,3.425,0.025,9.725,0.3625,2.2875
MT,0,18,0,1,0,0,28229.588889,5.1666666667,2.3888888889,0.3888888889,14.722222222,0.9444444444,2.7777777778
NC,0,894,0,1,0,0,15685.314553,7.2897091723,3.7416107383,0.2326621924,15.020134228,0.5928411633,3.8624161074
NE,0,194,0,1,0,0,16119.818814,7.8608247423,3.3762886598,0.1237113402,15.345360825,0.5927835052,6.6391752577
NH,0,47,0,1,0,0,7850.0980851,5.2765957447,2.2340425532,0.2765957447,8.829787234,0.1276595745,1.5957446809
NJ,0,749,0,1,0,0,17779.58466,7.2857142857,3.8998664887,0.3551401869,17.987983979,0.4833110814,4.5140186916
NM,0,325,0,1,0,0,13158.214769,6.6,2.7969230769,0.1015384615,14.498461538,0.4584615385,4.7661538462
NV,0,284,0,1,0,0,18922.805704,7.5352112676,3.2887323944,0.1549295775,15.876760563,0.588028169,5.1725352113
OH,0,1082,0,1,0,0,15272.626922,7.3354898336,3.1580406654,0.1811460259,14.339186691,0.5628465804,6.5914972274
OK,0,208,0,1,0,0,14166.380192,6.4326923077,3.5048076923,0.25,12.908653846,0.4615384615,3.8557692308
OR,0,71,0,1,0,0,21383.732394,5.3661971831,2.3802816901,0.014084507,11.323943662,0.5070422535,2.6056338028
PA,0,1344,0,1,0,0,15470.857805,7.0438988095,3.8199404762,0.209077381,16.713541667,0.3757440476,3.5974702381
SC,0,228,0,1,0,0,10458.279561,5.4780701754,2.9956140351,0.1359649123,11.521929825,0.3289473684,3.3728070175
TN,0,674,0,1,0,0,16063.093205,7.0860534125,4.1587537092,0.2166172107,15.824925816,0.6320474777,4.7284866469
UT,0,56,0,1,0,0,10480.167321,5.2142857143,2.2321428571,0.1607142857,9.0178571429,0.4285714286,3
VA,0,386,0,1,0,0,14485.74,5.8367875648,3.2694300518,0.1450777202,11.823834197,0.5,3.5958549223
WA,0,554,0,1,0,0,17440.805343,6.6642599278,3.5397111913,0.2563176895,15.5433213,0.5397111913,4.821299639
WI,0,615,0,1,0,0,16807.10839,7.2520325203,3.4406504065,0.162601626,14.315447154,0.6130081301,6.9609756098
WV,0,220,0,1,0,0,13337.8025,7.1045454545,3.4636363636,0.2727272727,14.140909091,0.6272727273,3.3409090909
