state,_TYPE_,_FREQ_,cancer,heart_disease,both_condition,neither,avg_allowed_amt,avg_pc_vst,avg_cardiologist_vst,avg_oncologist_vst,avg_others_vst,avg_inpatient,avg_outpatient
AL,0,104,0,0,1,0,26674.635865,7.8365384615,4.3076923077,4.125,23.5,0.7788461538,7.8846153846
AR,0,61,0,0,1,0,24072.672459,8.9836065574,5.393442623,2.6393442623,22.590163934,0.9508196721,5.6721311475
AZ,0,52,0,0,1,0,40116.726154,9.5,3.7307692308,3.5576923077,26.673076923,0.9615384615,8
CO,0,23,0,0,1,0,15814.723478,8,3.1739130435,3.2608695652,18.782608696,0.4782608696,5.6086956522
CT,0,61,0,0,1,0,36488.452131,8.5737704918,5.8852459016,3.0819672131,20.655737705,0.6229508197,5.6885245902
GA,0,128,0,0,1,0,27611.765234,9.4453125,4.4609375,3.875,22.53125,0.796875,7.46875
IA,0,52,0,0,1,0,20766.525962,7.3846153846,5.1923076923,3.3269230769,20.923076923,0.6153846154,9.8269230769
ID,0,3,0,0,1,0,108839.61667,4,2.3333333333,16.666666667,29.333333333,2.3333333333,25
IL,0,123,0,0,1,0,25873.584309,8.5853658537,4.8211382114,3.837398374,21.731707317,1,9.1869918699
IN,0,20,0,0,1,0,33617.2175,6.55,3.95,2.65,19.1,0.5,11.05
KY,0,89,0,0,1,0,28804.04236,10.943820225,4.5842696629,4.2134831461,23.213483146,0.8314606742,10.168539326
LA,0,46,0,0,1,0,25246.342826,4.9347826087,2.5434782609,2.8913043478,20.891304348,0.8913043478,4.9347826087
MA,0,77,0,0,1,0,33158.003766,7.8311688312,4.5194805195,2.4415584416,22.61038961,0.5974025974,5.7532467532
MD,0,40,0,0,1,0,31570.8475,7.525,3.525,6.75,21.35,0.725,7.95
ME,0,4,0,0,1,0,22143.1175,5.5,3,2.25,8.25,0.25,7
MI,0,180,0,0,1,0,25439.422222,8.5333333333,3.5388888889,3.9777777778,21.366666667,0.7888888889,11.772222222
MN,0,86,0,0,1,0,27584.00593,9.8720930233,3.8720930233,3.0697674419,22.069767442,1,9.6976744186
MO,0,59,0,0,1,0,28338.850847,9.5084745763,4.4576271186,3.8474576271,21.949152542,0.8644067797,8.9661016949
MS,0,6,0,0,1,0,110192.305,6.5,1.3333333333,12.333333333,55.166666667,0.8333333333,15.666666667
MT,0,1,0,0,1,0,13854.04,17,1,2,14,1,3
NC,0,220,0,0,1,0,29564.598227,8.3272727273,4.5454545455,3.7727272727,23.272727273,0.7181818182,6.5909090909
NE,0,36,0,0,1,0,25176.940556,7.25,4.4722222222,2.25,21.944444444,0.8055555556,9.9722222222
NH,0,6,0,0,1,0,22931.801667,8.1666666667,1.5,2.5,18.166666667,0.1666666667,2.1666666667
NJ,0,118,0,0,1,0,27293.463051,9.1016949153,5.4915254237,2.3474576271,24.63559322,0.7966101695,6.186440678
NM,0,66,0,0,1,0,22925.494545,7.2727272727,3.6060606061,2.8484848485,22.560606061,0.5151515152,8.3787878788
NV,0,49,0,0,1,0,33188.358163,9.8571428571,5.693877551,4.3469387755,25.204081633,1.0204081633,6.9795918367
OH,0,185,0,0,1,0,26364.361405,9.4378378378,4.1891891892,3.6648648649,22.545945946,0.7891891892,10.340540541
OK,0,36,0,0,1,0,34931.151111,8.4444444444,4.1944444444,3.5277777778,25.583333333,0.75,7.9444444444
OR,0,9,0,0,1,0,72606.283333,9.8888888889,3,1.8888888889,26.333333333,0.3333333333,15.555555556
PA,0,294,0,0,1,0,30686.080748,8.1666666667,5.2619047619,4.2278911565,23.74829932,0.619047619,7.656462585
SC,0,26,0,0,1,0,25980.418077,7.7307692308,4.2692307692,0.7692307692,21.884615385,0.7692307692,6.7692307692
TN,0,127,0,0,1,0,29723.450236,8.2913385827,5.0236220472,4.5748031496,21.716535433,0.8503937008,7.7952755906
UT,0,7,0,0,1,0,129949.80857,11.142857143,2.2857142857,11.285714286,43.571428571,2,11.571428571
VA,0,67,0,0,1,0,30385.539701,8.0746268657,3.776119403,5.223880597,22.656716418,0.9850746269,6.1492537313
WA,0,125,0,0,1,0,29250.34016,8.84,3.904,3.064,22.904,0.96,8.032
WI,0,101,0,0,1,0,25027.477624,9.5940594059,3.4653465347,3.9504950495,21.207920792,0.8514851485,10.504950495
WV,0,40,0,0,1,0,26553.89525,9.025,4.125,4.1,21.7,0.925,6
