state,_TYPE_,_FREQ_,cancer,heart_disease,both_condition,neither,avg_allowed_amt,avg_pc_vst,avg_cardiologist_vst,avg_oncologist_vst,avg_others_vst,avg_inpatient,avg_outpatient
AL,0,3820,0,0,0,1,2611.6703115,2.1816753927,0.1044502618,0.0492146597,4.6117801047,0.0596858639,0.819895288
AR,0,2034,0,0,0,1,2549.601706,2.2458210423,0.1145526057,0.0417895772,4.4085545723,0.0530973451,0.8397246804
AZ,0,4104,0,0,0,1,2756.1209113,2.0087719298,0.067251462,0.0209551657,4.5550682261,0.0494639376,0.7960526316
CO,0,3728,0,0,0,1,2649.5896164,1.9881974249,0.0713519313,0.0276287554,4.6019313305,0.0464055794,0.7666309013
CT,0,2881,0,0,0,1,2819.2249115,2.2533842416,0.1159319681,0.0315862548,5.1985421729,0.0409580007,0.7674418605
GA,0,6729,0,0,0,1,2530.3652831,2.1676326349,0.1013523555,0.0355179076,4.4572744836,0.0508247882,0.7577648982
HI,0,817,0,0,0,1,2296.6041371,1.700122399,0.0526315789,0.0208078335,4.3696450428,0.029375765,0.5422276622
IA,0,2908,0,0,0,1,2466.6188514,2.1368638239,0.1151994498,0.0158184319,4.4336313618,0.0443603851,1.2833562586
ID,0,805,0,0,0,1,2492.7145093,2.0335403727,0.0434782609,0.0161490683,4.398757764,0.0298136646,0.6062111801
IL,0,10769,0,0,0,1,2514.762471,2.1285170397,0.0772587984,0.0226576284,4.1843253784,0.0453152568,1.1705822268
IN,0,4877,0,0,0,1,2240.0506807,1.9833914292,0.0451096986,0.0164035268,3.842116055,0.0791470166,0.9313102317
KY,0,3481,0,0,0,1,2725.1264866,2.2099971273,0.1097385809,0.0416546969,4.6205113473,0.062912956,0.8218902614
LA,0,2810,0,0,0,1,2288.0308754,2.1199288256,0.0957295374,0.0330960854,4.4800711744,0.0462633452,0.7017793594
MA,0,5695,0,0,0,1,2582.8152766,2.2807726076,0.1041264267,0.025285338,4.9984196664,0.032309043,0.7896400351
MD,0,4332,0,0,0,1,2367.3168329,2.1897506925,0.0990304709,0.0341643583,4.2458448753,0.0480147738,0.7421514312
ME,0,863,0,0,0,1,2968.7961877,2.0799536501,0.0950173812,0.0347624565,5.1900347625,0.0278099652,0.6581691773
MI,0,8887,0,0,0,1,2719.0861652,2.2194216271,0.0876561269,0.0195791606,4.5428153483,0.0581748622,1.3338584449
MN,0,4862,0,0,0,1,2541.7434348,2.200123406,0.077540107,0.0119292472,4.5542986425,0.0466886055,1.2900041135
MO,0,4544,0,0,0,1,2784.2978037,2.1073943662,0.0818661972,0.0294894366,4.3776408451,0.0534771127,1.2414172535
MS,0,1603,0,0,0,1,2484.6241859,2.0536494074,0.0923268871,0.0449157829,4.2719900187,0.0436681223,0.6051154086
MT,0,455,0,0,0,1,2616.850044,1.7032967033,0.0417582418,0.0241758242,4.1472527473,0.0461538462,0.5340659341
NC,0,7128,0,0,0,1,2658.9183614,2.2356902357,0.1134960718,0.0429292929,4.7396184063,0.0533108866,0.8514309764
NE,0,1623,0,0,0,1,2592.6360505,2.2846580407,0.0905730129,0.0271102896,4.9833641405,0.0554528651,1.3912507702
NH,0,974,0,0,0,1,3409.1910986,2.1211498973,0.0821355236,0.0256673511,5.3008213552,0.0338809035,0.7761806982
NJ,0,6746,0,0,0,1,2705.5165921,2.3109991106,0.1119181737,0.0287577824,5.374295879,0.036169582,0.9266231841
NM,0,1584,0,0,0,1,2661.1938005,2.2758838384,0.1085858586,0.0353535354,5.1963383838,0.0542929293,1.1843434343
NV,0,1958,0,0,0,1,3217.6014096,2.2359550562,0.1169560776,0.0403472932,5.2671092952,0.0745658836,1.0388151175
OH,0,9646,0,0,0,1,2652.4764773,2.1806966618,0.0919552146,0.0300642753,4.688990255,0.0540120257,1.3558988182
OK,0,2567,0,0,0,1,2471.6107168,2.061550448,0.0919361122,0.0296065446,4.1227113362,0.0549279314,0.7171795871
OR,0,2885,0,0,0,1,2223.8853449,1.7459272097,0.0426343154,0.0291161179,3.9875216638,0.0391681109,0.5067590988
PA,0,10869,0,0,0,1,2744.5917647,2.3572545772,0.1206182722,0.0304535836,5.4078572086,0.0381819855,0.9010948569
SC,0,3350,0,0,0,1,2580.9633134,2.1205970149,0.0856716418,0.0289552239,4.1059701493,0.0573134328,0.7050746269
TN,0,5607,0,0,0,1,2721.0537221,2.2516497236,0.0996968076,0.0288924559,4.5666131621,0.0647405029,0.8348492955
UT,0,2333,0,0,0,1,2486.8976425,1.8084012002,0.0368624089,0.0235747964,3.822546078,0.0287183883,0.5327903986
VA,0,6336,0,0,0,1,2307.9750142,2.0784406566,0.0716540404,0.0336174242,4.0402462121,0.0421401515,0.6291035354
WA,0,6670,0,0,0,1,2656.8545487,2.0274362819,0.0889055472,0.0373313343,4.4556221889,0.052023988,0.8124437781
WI,0,5305,0,0,0,1,2586.4982111,2.1779453346,0.0840716305,0.0188501414,4.3762488219,0.0516493874,1.2955702168
WV,0,1673,0,0,0,1,2566.3389779,2.4267782427,0.1213389121,0.0286909743,4.679019725,0.0520023909,1.0549910341
